"Table 3. Space Economy Value Added Price Indexes by Industry","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14"
"[index numbers, 2017 = 100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Last updated: March 31, 2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"76","Health care and social assistance","93.435000000000002","94.346000000000004","96.7","99.332999999999998","97.117999999999995","100","103.651","105.06699999999999","109.79300000000001","111.72499999999999","113.41500000000001","115.039"
"77","Ambulatory health care services","103.884","102.854","102.21299999999999","101.569","100.027","100","99.959000000000003","99.44","99.305999999999997","97.966999999999999","98.245000000000005","98.948999999999998"
"78","Hospitals","93.031999999999996","94.003","96.451999999999998","99.203999999999994","96.956999999999994","100","103.83799999999999","105.36","110.49299999999999","112.697","114.452","116.11799999999999"
"79","Nursing and residential care facilities","102.23099999999999","101.489","101.276","101.212","99.471999999999994","100","100.399","100.086","100.453","99.488","100.021","100.855"
"80","Social assistance","104.82899999999999","103.786","102.982","102.095","100.81699999999999","100","98.983000000000004","97.804000000000002","96.435000000000002","94.426000000000002","94.215999999999994","94.659000000000006"
"81","Arts, entertainment, recreation, accommodation, and food services","88.734999999999999","90.659000000000006","92.194999999999993","94.861999999999995","97.32","100","99.563999999999993","101.04600000000001","104.786","106.67100000000001","112.57","121.34399999999999"
"82","Arts, entertainment, and recreation","88.343999999999994","90.332999999999998","91.915000000000006","94.638999999999996","97.203999999999994","100","99.605999999999995","101.146","104.991","106.937","113.05800000000001","122.26300000000001"
"83","Performing arts, spectator sports, museums, and related activities","88.290999999999997","90.304000000000002","91.891999999999996","94.626000000000005","97.194000000000003","100","99.603999999999999","101.148","105.009","106.958","113.101","122.345"
"84","Amusements, gambling, and recreation industries","103.496","98.763999999999996","98.915999999999997","98.869","100.508","100","100.203","100.473","99.152000000000001","99.884","100.664","100.529"
"85","Accommodation and food services","99.465000000000003","99.820999999999998","100.27800000000001","101.63800000000001","101.28700000000001","100","98.057000000000002","97.563999999999993","96.784000000000006","95.823999999999998","95.52","95.253"
"86","Accommodation","99.481999999999999","99.843000000000004","100.3","101.655","101.295","100","98.046999999999997","97.566999999999993","96.771000000000001","95.793999999999997","95.426000000000002","95.16"
"87","Food services and drinking places","95.441999999999993","94.661000000000001","95.244","98.188999999999993","99.828999999999994","100","99.927000000000007","97.355000000000004","98.491","99.159000000000006","105.465","105.004"
"88","Other services, except government","99.1","101.059","100.866","99.84","97.456000000000003","100","98.744","92.215000000000003","94.138999999999996","94.599000000000004","90.722999999999999","93.501999999999995"
"89","Government5","91.864999999999995","93.36","95.671000000000006","96.486000000000004","97.759","100","103.48399999999999","105.4","106.372","108.482","113.998","119.959"
"90","Federal","91.195999999999998","92.644999999999996","94.962999999999994","96.278000000000006","97.707999999999998","100","103.467","105.428","106.45","108.818","114.658","121.044"
"91","General government","91.194999999999993","92.644000000000005","94.962000000000003","96.277000000000001","97.706999999999994","100","103.468","105.428","106.45099999999999","108.821","114.661","121.047"
"92","National defense","95.463999999999999","95.382999999999996","97.001999999999995","97.581999999999994","98.614999999999995","100","102.634","103.80500000000001","105.416","107.441","117.309","122.01900000000001"
"93","Nondefense","90.233000000000004","92.021000000000001","94.492999999999995","95.97","97.491","100","103.685","105.864","106.71299999999999","109.21899999999999","113.21","120.42400000000001"
"94","Government enterprises","104.209","104.089","104.212","103.494","102.498","100","98.277000000000001","99.308999999999997","95.754999999999995","94.384","99.052999999999997","102.23399999999999"
